NO,SMILES,y_true,temp,elem,mol,SMILES_Kmeans,Bemis_Murcko
468,*NC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C4(c5ccc(Oc6ccc(N7C(=O)c8ccc(C(=O)Nc9ccc(Oc%10cc(C(C)(C)C)c(Oc%11ccc(*)cc%11)cc%10C(C)(C)C)cc9)cc8C7=O)cc6)cc5)CCCCCCCCCCC4)cc3)cc1)C2=O,262.0,-0.8299239,-0.8640976,-0.9271892,-0.72021866,-0.66585547
551,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc5c(c3)nc(-c3ccc(*)cc3C(F)(F)F)n5-c3ccccc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,326.6103593,0.29329145,0.6382771,0.18150918,0.27078423,0.33501005
354,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(*)cc5C(F)(F)F)c(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,362.0,0.880198,0.75227875,0.83814746,0.8091662,0.8888974
280,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(C(c5cccc(*)c5)(C(F)(F)F)C(F)(F)F)c3)C4=O)cc2C1=O,305.0,-0.039128445,-0.07079162,-0.115309395,-0.5016391,-0.009121366
412,*c1cccc(C(O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C)c2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,235.0,-1.3187027,-1.1851999,-1.113353,-1.080914,-0.94326323
516,*c1ccc2nc(-c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c(C)nc2c1,376.0,1.0705752,0.715362,1.0445294,1.163557,1.1024089
467,*NC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C4(c5ccc(Oc6ccc(N7C(=O)c8ccc(C(=O)Nc9ccc(Oc%10ccc(Oc%11ccc(*)cc%11)cc%10C(C)(C)C)cc9)cc8C7=O)cc6)cc5)CCCCCCCCCCC4)cc3)cc1)C2=O,241.0,-0.9668675,-0.96834856,-1.0469432,-0.86652493,-0.7255166
253,*c1cccc(Cc2ccccc2N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1,258.0,-0.6621995,-0.77012634,-0.8175768,-0.7238455,-0.68866175
259,*N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(c3ccc(C(=O)c5ccc(*)cc5)cc3)C4=O)cc2C1=O,288.0,-0.3574144,0.12785092,-0.17258829,-0.2730998,0.09361179
588,*c1ccc(C(c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)c2cccc3ccccc23)cc1,341.0,0.48572665,0.4306462,0.3904987,0.53973246,0.55556315
457,*c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc21,371.0,0.99786127,0.95876193,1.0050961,0.88881457,1.0005155
682,*c1ccc(C2(c3ccc(N4C(=O)c5ccc(C(C)(C)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c3cc(O[Si](C)(C)C(C)(C)C)ccc3-c3ccc(O[Si](C)(C)C(C)(C)C)cc32)cc1,302.1,-0.056256816,-0.00077857,-0.037130952,0.033356678,0.022004465
577,*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)OC(=O)c7ccccc76)cc5)cc4C3=O)cc2)cc1,278.0,-0.6641316,-0.43893522,-0.44497532,-0.36813694,-0.48496932
269,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5ccc(*)cc5)c3)C4=O)cc2C1=O,237.0,-1.4779364,-1.4082733,-1.4768662,-1.1706653,-1.4825648
549,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C6(c7ccc(Oc8ccc(*)cc8)cc7)c7cc(F)ccc7-c7ccc(F)cc76)cc5)cc3)C4=O)cc2C1=O,264.07,-0.7036347,-0.7740628,-0.735907,-0.6386844,-0.5347701
717,*N1C(=O)c2ccc(C(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)(c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc3)C4=O)C(F)(F)F)cc2C1=O,259.5,-0.81343627,-0.6943488,-0.80531776,-0.7026948,-0.6843014
244,*c1ccc(-c2ccccc2N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,305.0,-0.19046031,-0.12236895,-0.12511624,-0.023385905,-0.00971942
629,*c1ccc(Oc2ccc(-c3[nH]c(-c4ccc(C(F)(F)F)cc4)nc3-c3ccc(Oc4ccc(N5C(=O)C6C7C(=O)N(*)C(=O)C7C6C5=O)cc4C(F)(F)F)cc3)cc2)c(C(F)(F)F)c1,299.7396922,-0.051935963,-0.11211875,-0.2372064,-0.1401999,-0.0747447
