NO,SMILES,y_true,temp,elem,mol,SMILES_Kmeans,Bemis_Murcko
196,*N1C(=O)c2cccc(Oc3cccc4c3C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc3)C4=O)c2C1=O,263,-0.6337071,-0.3306874,-0.7445842,-0.5954543,-0.4698845
197,*N1C(=O)c2cccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc3)C4=O)c2C1=O,253,-0.8125808,-0.71853834,-0.89141965,-0.9403612,-0.75025743
199,*N1C(=O)c2cccc(Sc3cccc4c3C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)c2C1=O,293,-0.08972276,0.12935793,0.099424355,0.29158032,0.02771895
200,*N1C(=O)c2cccc(Sc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)c2C1=O,282,-0.2579265,-0.08183999,-0.3715453,-0.17912412,-0.12575403
201,*N1C(=O)c2ccc(Sc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(*)cc5)cc3)C4=O)cc2C1=O,266,-0.649665,-0.47415987,-0.6353677,-0.62932163,-0.5243341
202,*N1C(=O)c2cccc(Oc3ccc(Oc4cccc5c4C(=O)N(c4ccc(Oc6ccc(*)cc6)cc4)C5=O)cc3)c2C1=O,269,-0.6076201,-0.5360677,-0.6708529,-0.6638933,-0.49376315
203,*N1C(=O)c2ccc(Oc3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(*)cc6)cc4)C5=O)cc3)cc2C1=O,245,-1.1291107,-0.86683947,-1.3134536,-1.10867,-1.0202821
222,*n1c(=O)c2ccc3c(=O)n(Oc4cccc(Oc5ccc(*)cc5)c4)c(=O)c3c2c1=O,330,0.40952638,0.5607094,0.4349682,0.62937295,0.44989234
224,*n1c(=O)c2ccc3c(=O)n(Oc4ccc(Oc5cccc(Oc6ccc(*)cc6)c5)cc4)c(=O)c3c2c1=O,272,-0.3770569,-0.07752578,-0.54458696,-0.23739338,-0.48074138
226,*n1c(=O)c2ccc3c(=O)n(-c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc4)c(=O)c3c2c1=O,280,-0.307339,-0.20085278,-0.31341064,-0.48898545,-0.37942022
227,*n1c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc4)c(=O)c3cc2c1=O,287,-0.5215748,-0.29435083,-0.36651376,-0.44857886,-0.43323854
228,*n1c(=O)c2ccc3c(=O)n(-c4ccc(Oc5ccc(C(c6ccc(Oc7ccc(*)cc7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4)c(=O)c3c2c1=O,272,-0.46528727,-0.25309572,-0.52337414,-0.518645,-0.5449322
229,*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,327,0.3159072,-0.014711127,0.30740118,0.25153676,0.15887557
233,*N1C(=O)c2ccc(Sc3ccc(S(=O)(=O)c4ccc(Sc5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(*)cc7)cc5)C6=O)cc4)cc3)cc2C1=O,261,-0.7768018,-0.67768663,-0.800585,-0.88555795,-0.79637295
234,*N1C(=O)c2cccc(Sc3ccc(S(=O)(=O)c4ccc(Sc5cccc6c5C(=O)N(c5ccc(Oc7ccc(*)cc7)cc5)C6=O)cc4)cc3)c2C1=O,288,-0.45227668,-0.35134083,-0.35222635,-0.31173897,-0.3074108
235,*N1C(=O)c2ccc(Sc3ccc(S(=O)(=O)c4ccc(Sc5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(Oc8ccc(*)cc8)cc7)cc5)C6=O)cc4)cc3)cc2C1=O,240,-1.0033051,-1.0130157,-1.0382377,-1.1291726,-1.1776538
236,*N1C(=O)c2cccc(Sc3ccc(S(=O)(=O)c4ccc(Sc5cccc6c5C(=O)N(c5ccc(Oc7ccc(Oc8ccc(*)cc8)cc7)cc5)C6=O)cc4)cc3)c2C1=O,269,-0.5824291,-0.58698285,-0.57283974,-0.5021435,-0.6061879
237,*c1ccc(C(=O)c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)cc1,341,0.636192,1.0604687,0.5873896,1.001627,0.75034606
238,*c1cccc(C(=O)c2ccccc2-n2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)c1,321,0.26729184,0.4029679,0.23050588,0.3944155,0.34655046
239,*c1ccc(C(c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,345,0.84278643,0.9998887,0.6327973,0.95123225,0.9426035
240,*c1cccc(C(c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)(C(F)(F)F)C(F)(F)F)c1,296,-0.10927976,0.1747559,-0.14382596,0.015410449,-0.012010261
242,*c1cccc(Oc2ccc(C(c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)(C(F)(F)F)C(F)(F)F)cc2)c1,235,-1.1535512,-0.87367326,-1.1836782,-1.1042452,-1.0859985
243,*c1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,282,-0.14752579,0.18356004,0.19010547,0.06698903,0.1927313
244,*c1ccc(-c2ccccc2N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,305,0.05110471,0.08592952,0.016895495,0.13775216,0.010845568
246,*c1ccc(Oc2ccccc2N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,287,-0.29986882,-0.16361704,-0.30707863,-0.0775313,-0.20741321
247,*c1ccc(Oc2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)cc1,252,-0.81288433,-0.9276143,-0.9318431,-0.8698574,-1.1134772
248,*c1cccc(Oc2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,221,-0.73311925,-0.9072747,-1.1953826,-1.0596637,-1.1745739
249,*c1ccc(Cc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,306,0.04046998,0.16731253,-0.0701877,0.13891678,0.24024242
250,*c1ccc(Cc2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)cc1,292,-0.24314901,-0.19771424,-0.27962026,-0.15317678,-0.22329782
